Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,0.82,0.82,0.00,0.00,0.59,2.73
Feb,0.69,0.69,0.00,0.00,1.44,2.74
Mar,0.57,0.57,0.00,0.00,3.83,4.03
Apr,0.04,0.04,0.00,0.00,6.46,4.21
May,0.03,0.03,0.00,0.00,7.15,4.01
Jun,0.00,0.00,0.00,0.00,2.73,2.47
Jul,0.00,0.00,0.00,0.00,1.87,1.89
Aug,0.02,0.02,0.00,0.00,1.93,1.94
Sep,0.04,0.04,0.00,0.00,2.31,2.70
Oct,0.18,0.18,0.00,0.00,2.42,2.99
Nov,0.30,0.30,0.00,0.00,1.84,3.12
Dec,0.50,0.50,0.00,0.00,0.73,3.18
Total,3.19,3.19,0.00,0.00,33.30,36.01
