Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)","250,029.6","9,212.4",614.2
"Loading Rates (kg/ha)",37.08,1.37,0.09
"Mean Annual Concentration (mg/L)",64.24,2.37,0.16
"Mean Low-Flow Concentration (mg/L)",148.49,3.17,0.38
