Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,0.35,0.35,0.00,0.00,0.70,2.73
Feb,0.23,0.23,0.00,0.00,1.69,2.74
Mar,0.19,0.19,0.00,0.00,4.50,4.03
Apr,0.02,0.01,0.01,0.00,7.30,4.21
May,0.01,0.01,0.00,0.00,6.71,4.01
Jun,0.00,0.00,0.00,0.00,2.54,2.47
Jul,0.01,0.00,0.00,0.00,1.87,1.89
Aug,0.01,0.00,0.00,0.00,1.94,1.94
Sep,0.02,0.02,0.00,0.00,2.37,2.70
Oct,0.04,0.04,0.00,0.00,2.58,2.99
Nov,0.09,0.09,0.00,0.00,2.11,3.12
Dec,0.17,0.17,0.00,0.00,0.85,3.18
Total,1.14,1.11,0.01,0.00,35.16,36.01
