Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)","19,906.0",571.7,57.0
"Loading Rates (kg/ha)",44.62,1.28,0.13
"Mean Annual Concentration (mg/L)",230.60,6.62,0.66
"Mean Low-Flow Concentration (mg/L)",269.47,"1,044.81",60.09
