Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)",312.1,0.9,0.5
"Loading Rates (kg/ha)",15.45,0.04,0.03
"Mean Annual Concentration (mg/L)",111.65,0.32,0.18
"Mean Low-Flow Concentration (mg/L)",126.86,0.19,0.17
