Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)","3,621.1",143.5,22.6
"Loading Rates (kg/ha)",8.81,0.35,0.06
"Mean Annual Concentration (mg/L)",43.45,1.72,0.27
"Mean Low-Flow Concentration (mg/L)",68.30,3.54,0.73
