Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)","2,511.4",131.9,25.9
"Loading Rates (kg/ha)",5.00,0.26,0.05
"Mean Annual Concentration (mg/L)",28.10,1.48,0.29
"Mean Low-Flow Concentration (mg/L)",68.33,3.19,0.72
