Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,0.21,0.19,0.01,0.00,0.70,2.29
Feb,0.30,0.26,0.03,0.00,1.60,2.70
Mar,0.23,0.15,0.08,0.00,3.95,4.15
Apr,0.12,0.01,0.11,0.00,7.01,4.09
May,0.09,0.01,0.08,0.00,5.64,3.36
Jun,0.06,0.00,0.06,0.00,1.76,1.72
Jul,0.05,0.00,0.05,0.00,2.45,2.45
Aug,0.04,0.01,0.03,0.00,2.94,2.96
Sep,0.05,0.03,0.02,0.00,2.48,2.86
Oct,0.06,0.04,0.02,0.00,2.77,3.04
Nov,0.11,0.10,0.01,0.00,1.85,2.91
Dec,0.15,0.14,0.01,0.00,0.88,2.67
Total,1.47,0.94,0.51,0.00,34.03,35.20
