Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)","29,365.6",580.7,60.6
"Loading Rates (kg/ha)",69.67,1.38,0.14
"Mean Annual Concentration (mg/L)",491.11,9.71,1.01
"Mean Low-Flow Concentration (mg/L)",520.83,165.04,10.87
