Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,0.54,0.54,0.00,0.00,0.58,2.73
Feb,0.42,0.42,0.00,0.00,1.40,2.74
Mar,0.34,0.34,0.00,0.00,3.71,4.03
Apr,0.02,0.02,0.00,0.00,6.80,4.21
May,0.02,0.02,0.00,0.00,7.92,4.01
Jun,0.00,0.00,0.00,0.00,2.85,2.47
Jul,0.00,0.00,0.00,0.00,1.87,1.89
Aug,0.01,0.01,0.00,0.00,1.94,1.94
Sep,0.03,0.03,0.00,0.00,2.33,2.70
Oct,0.09,0.09,0.00,0.00,2.45,2.99
Nov,0.18,0.18,0.00,0.00,1.85,3.12
Dec,0.30,0.30,0.00,0.00,0.72,3.18
Total,1.95,1.95,0.00,0.00,34.42,36.01
