Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)","13,730.7",457.6,33.1
"Loading Rates (kg/ha)",56.74,1.89,0.14
"Mean Annual Concentration (mg/L)",128.59,4.29,0.31
"Mean Low-Flow Concentration (mg/L)",116.18,12.60,0.74
