Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)","41,918.0","2,444.1",97.6
"Loading Rates (kg/ha)",46.95,2.74,0.11
"Mean Annual Concentration (mg/L)",20.36,1.19,0.05
"Mean Low-Flow Concentration (mg/L)",23.43,1.28,0.07
