Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)","20,096.3",302.0,50.0
"Loading Rates (kg/ha)",54.07,0.81,0.13
"Mean Annual Concentration (mg/L)",419.60,6.31,1.04
"Mean Low-Flow Concentration (mg/L)",763.91,195.96,22.85
