Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)",129.3,7.4,0.9
"Loading Rates (kg/ha)",4.47,0.26,0.03
"Mean Annual Concentration (mg/L)",18.20,1.05,0.12
"Mean Low-Flow Concentration (mg/L)",17.09,14.21,1.46
