Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,0.28,0.28,0.00,0.00,0.72,2.29
Feb,0.36,0.36,0.00,0.00,1.65,2.70
Mar,0.23,0.23,0.00,0.00,4.09,4.15
Apr,0.02,0.02,0.01,0.00,6.71,4.09
May,0.02,0.02,0.01,0.00,5.89,3.36
Jun,0.00,0.00,0.00,0.00,1.77,1.72
Jul,0.00,0.00,0.00,0.00,2.45,2.45
Aug,0.02,0.02,0.00,0.00,2.93,2.96
Sep,0.04,0.04,0.00,0.00,2.45,2.86
Oct,0.07,0.07,0.00,0.00,2.74,3.04
Nov,0.15,0.15,0.00,0.00,1.85,2.91
Dec,0.21,0.21,0.00,0.00,0.88,2.67
Total,1.40,1.40,0.02,0.00,34.13,35.20
