Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)","9,666.2",338.4,62.7
"Loading Rates (kg/ha)",8.49,0.30,0.06
"Mean Annual Concentration (mg/L)",33.29,1.17,0.22
"Mean Low-Flow Concentration (mg/L)",82.70,2.32,0.54
