Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)",20.9,0.6,0.1
"Loading Rates (kg/ha)",1.19,0.04,0.00
"Mean Annual Concentration (mg/L)",7.26,0.23,0.03
"Mean Low-Flow Concentration (mg/L)",8.01,0.20,0.02
