Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)","10,134.0",126.5,23.4
"Loading Rates (kg/ha)",67.70,0.85,0.16
"Mean Annual Concentration (mg/L)",458.19,5.72,1.06
"Mean Low-Flow Concentration (mg/L)",301.94,9.93,1.44
