Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)","23,524.1",533.8,49.9
"Loading Rates (kg/ha)",59.11,1.34,0.13
"Mean Annual Concentration (mg/L)",289.50,6.57,0.61
"Mean Low-Flow Concentration (mg/L)",639.48,"1,428.15",65.30
