Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,0.05,0.05,0.00,0.00,0.60,2.29
Feb,0.09,0.09,0.00,0.00,1.38,2.70
Mar,0.04,0.02,0.02,0.00,3.38,4.15
Apr,0.05,0.00,0.05,0.00,6.96,4.09
May,0.04,0.00,0.04,0.00,7.64,3.36
Jun,0.03,0.00,0.03,0.00,1.91,1.72
Jul,0.02,0.00,0.02,0.00,2.45,2.45
Aug,0.02,0.00,0.02,0.00,2.94,2.96
Sep,0.02,0.01,0.01,0.00,2.46,2.86
Oct,0.01,0.00,0.01,0.00,2.72,3.04
Nov,0.02,0.02,0.01,0.00,1.77,2.91
Dec,0.04,0.03,0.00,0.00,0.81,2.67
Total,0.43,0.22,0.21,0.00,35.02,35.20
