Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)",521.3,10.5,2.1
"Loading Rates (kg/ha)",10.66,0.21,0.04
"Mean Annual Concentration (mg/L)",35.57,0.71,0.14
"Mean Low-Flow Concentration (mg/L)",300.90,1.59,0.69
