Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,1.12,1.06,0.06,0.00,0.51,2.73
Feb,0.98,0.88,0.10,0.00,1.24,2.74
Mar,0.93,0.73,0.20,0.00,3.29,4.03
Apr,0.32,0.06,0.26,0.00,6.05,4.21
May,0.27,0.04,0.24,0.00,6.52,4.01
Jun,0.17,0.00,0.17,0.00,2.62,2.47
Jul,0.13,0.00,0.13,0.00,1.87,1.89
Aug,0.12,0.02,0.10,0.00,1.92,1.94
Sep,0.12,0.05,0.07,0.00,2.28,2.70
Oct,0.28,0.23,0.05,0.00,2.32,2.99
Nov,0.43,0.39,0.04,0.00,1.71,3.12
Dec,0.67,0.64,0.03,0.00,0.64,3.18
Total,5.54,4.10,1.45,0.00,30.97,36.01
