Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)","13,948.1",441.5,27.4
"Loading Rates (kg/ha)",71.24,2.25,0.14
"Mean Annual Concentration (mg/L)",128.30,4.06,0.25
"Mean Low-Flow Concentration (mg/L)",122.75,9.20,0.46
