Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,0.14,0.06,0.08,0.00,0.66,2.29
Feb,0.29,0.11,0.17,0.00,1.53,2.70
Mar,0.34,0.03,0.31,0.00,3.77,4.15
Apr,0.32,0.00,0.32,0.00,7.11,4.09
May,0.25,0.00,0.25,0.00,5.28,3.36
Jun,0.18,0.00,0.18,0.00,1.76,1.72
Jul,0.14,0.00,0.14,0.00,2.45,2.45
Aug,0.10,0.00,0.10,0.00,2.94,2.96
Sep,0.08,0.01,0.07,0.00,2.47,2.86
Oct,0.06,0.00,0.05,0.00,2.76,3.04
Nov,0.06,0.02,0.04,0.00,1.83,2.91
Dec,0.07,0.04,0.03,0.00,0.86,2.67
Total,2.03,0.27,1.74,0.00,33.42,35.20
