Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)","5,902.4",131.9,36.3
"Loading Rates (kg/ha)",9.04,0.20,0.06
"Mean Annual Concentration (mg/L)",205.28,4.59,1.26
"Mean Low-Flow Concentration (mg/L)",370.22,15.28,4.10
