Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,0.11,0.02,0.09,0.00,0.69,2.29
Feb,0.22,0.04,0.18,0.00,1.60,2.70
Mar,0.33,0.01,0.32,0.00,3.94,4.15
Apr,0.33,0.00,0.33,0.00,7.21,4.09
May,0.25,0.00,0.25,0.00,4.97,3.36
Jun,0.18,0.00,0.18,0.00,1.76,1.72
Jul,0.14,0.00,0.14,0.00,2.45,2.45
Aug,0.10,0.00,0.10,0.00,2.94,2.96
Sep,0.07,0.00,0.07,0.00,2.48,2.86
Oct,0.06,0.00,0.05,0.00,2.79,3.04
Nov,0.05,0.01,0.04,0.00,1.87,2.91
Dec,0.05,0.01,0.03,0.00,0.89,2.67
Total,1.89,0.09,1.78,0.00,33.59,35.20
