Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,0.15,0.14,0.01,0.00,0.83,2.29
Feb,0.24,0.20,0.04,0.00,1.90,2.70
Mar,0.17,0.09,0.08,0.00,4.67,4.15
Apr,0.10,0.01,0.08,0.00,6.91,4.09
May,0.07,0.01,0.06,0.00,4.65,3.36
Jun,0.05,0.00,0.04,0.00,1.75,1.72
Jul,0.04,0.01,0.03,0.00,2.44,2.45
Aug,0.04,0.02,0.02,0.00,2.93,2.96
Sep,0.06,0.04,0.02,0.00,2.48,2.86
Oct,0.04,0.02,0.01,0.00,2.84,3.04
Nov,0.08,0.07,0.01,0.00,1.96,2.91
Dec,0.10,0.10,0.01,0.00,0.99,2.67
Total,1.14,0.71,0.41,0.00,34.35,35.20
