Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,3.99,0.95,1.43,1.61,0.48,2.73
Feb,3.60,0.80,1.35,1.45,0.86,2.74
Mar,3.87,0.66,1.60,1.61,1.66,4.03
Apr,3.28,0.05,1.68,1.56,2.04,4.21
May,3.46,0.04,1.82,1.61,2.32,4.01
Jun,3.16,0.00,1.60,1.56,1.77,2.47
Jul,2.96,0.00,1.35,1.61,1.42,1.89
Aug,2.74,0.02,1.11,1.61,1.46,1.94
Sep,2.63,0.04,1.03,1.56,1.33,2.70
Oct,2.99,0.21,1.18,1.61,1.09,2.99
Nov,3.17,0.36,1.26,1.56,1.01,3.12
Dec,3.57,0.58,1.38,1.61,0.53,3.18
Total,39.42,3.71,16.79,18.96,15.97,36.01
