Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,0.99,0.98,0.01,0.00,0.50,2.73
Feb,0.84,0.81,0.03,0.00,1.21,2.74
Mar,0.73,0.67,0.06,0.00,3.21,4.03
Apr,0.16,0.05,0.11,0.00,6.13,4.21
May,0.16,0.04,0.12,0.00,7.51,4.01
Jun,0.09,0.00,0.09,0.00,2.80,2.47
Jul,0.07,0.00,0.07,0.00,1.87,1.89
Aug,0.07,0.02,0.05,0.00,1.92,1.94
Sep,0.08,0.05,0.04,0.00,2.29,2.70
Oct,0.23,0.21,0.03,0.00,2.32,2.99
Nov,0.38,0.36,0.02,0.00,1.69,3.12
Dec,0.61,0.59,0.01,0.00,0.63,3.18
Total,4.41,3.78,0.64,0.00,32.08,36.01
