Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)","34,730.4",736.5,133.6
"Loading Rates (kg/ha)",15.89,0.34,0.06
"Mean Annual Concentration (mg/L)",65.76,1.39,0.25
"Mean Low-Flow Concentration (mg/L)",127.49,2.87,0.62
