Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)","3,171.0",115.1,11.8
"Loading Rates (kg/ha)",29.23,1.06,0.11
"Mean Annual Concentration (mg/L)",152.81,5.55,0.57
"Mean Low-Flow Concentration (mg/L)",82.64,131.81,7.45
