Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)",797.2,22.3,5.2
"Loading Rates (kg/ha)",8.56,0.24,0.06
"Mean Annual Concentration (mg/L)",52.45,1.46,0.34
"Mean Low-Flow Concentration (mg/L)",31.90,3.75,0.82
