Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)","25,536.0",796.1,58.0
"Loading Rates (kg/ha)",55.15,1.72,0.13
"Mean Annual Concentration (mg/L)",160.15,4.99,0.36
"Mean Low-Flow Concentration (mg/L)",337.41,834.96,30.08
