Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)","23,939.5",403.2,55.0
"Loading Rates (kg/ha)",68.18,1.15,0.16
"Mean Annual Concentration (mg/L)",427.15,7.20,0.98
"Mean Low-Flow Concentration (mg/L)","1,038.34",33.88,3.65
