Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)","28,525.6","1,033.4",61.6
"Loading Rates (kg/ha)",50.57,1.83,0.11
"Mean Annual Concentration (mg/L)",158.92,5.76,0.34
"Mean Low-Flow Concentration (mg/L)",507.93,"1,094.14",38.38
