Sources,"Sediment (kg)","Total Nitrogen (kg)","Total Phosphorus (kg)"
Hay/Pasture,870.0,9.0,2.4
Cropland,0.0,0.0,0.0
"Wooded Areas",0.0,0.0,0.0
Wetlands,7.4,1.0,0.1
"Open Land",0.0,0.0,0.0
"Barren Areas",0.0,0.0,0.0
"Low-Density Mixed",636.3,20.6,2.1
"Medium-Density Mixed","6,668.4",145.2,14.8
"High-Density Mixed","2,972.0",64.7,6.6
"Low-Density Open Space",105.5,3.4,0.3
"Farm Animals",0.0,97.9,22.8
"Stream Bank Erosion","25,315.0",39.0,9.0
"Subsurface Flow",0.0,259.2,2.3
"Point Sources",0.0,"114,922.0","18,599.0"
"Septic Systems",0.0,751.7,0.0
