Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)","52,092.9","1,051.2",91.0
"Loading Rates (kg/ha)",85.38,1.72,0.15
"Mean Annual Concentration (mg/L)",332.88,6.72,0.58
"Mean Low-Flow Concentration (mg/L)",486.63,97.32,4.36
