Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,8.34,1.09,0.04,7.21,0.56,2.73
Feb,7.51,0.92,0.08,6.51,1.36,2.74
Mar,8.10,0.76,0.13,7.21,3.61,4.03
Apr,7.21,0.06,0.17,6.97,6.03,4.21
May,7.41,0.04,0.16,7.21,6.28,4.01
Jun,7.09,0.00,0.12,6.97,2.62,2.47
Jul,7.30,0.00,0.09,7.21,1.87,1.89
Aug,7.29,0.02,0.07,7.21,1.91,1.94
Sep,7.07,0.05,0.05,6.97,2.27,2.70
Oct,7.49,0.24,0.04,7.21,2.35,2.99
Nov,7.41,0.41,0.03,6.97,1.78,3.12
Dec,7.90,0.67,0.02,7.21,0.68,3.18
Total,90.12,4.26,1.00,84.86,31.32,36.01
