Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,0.22,0.22,0.00,0.00,0.62,2.29
Feb,0.29,0.29,0.00,0.00,1.42,2.70
Mar,0.18,0.17,0.02,0.00,3.49,4.15
Apr,0.06,0.01,0.05,0.00,6.88,4.09
May,0.05,0.01,0.04,0.00,6.90,3.36
Jun,0.03,0.00,0.03,0.00,1.81,1.72
Jul,0.02,0.00,0.02,0.00,2.45,2.45
Aug,0.02,0.01,0.01,0.00,2.94,2.96
Sep,0.04,0.03,0.01,0.00,2.46,2.86
Oct,0.06,0.05,0.01,0.00,2.70,3.04
Nov,0.11,0.11,0.01,0.00,1.77,2.91
Dec,0.16,0.16,0.00,0.00,0.81,2.67
Total,1.24,1.06,0.20,0.00,34.25,35.20
