Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,0.45,0.45,0.00,0.00,0.60,2.73
Feb,0.34,0.34,0.00,0.00,1.45,2.74
Mar,0.29,0.28,0.01,0.00,3.86,4.03
Apr,0.03,0.02,0.01,0.00,7.02,4.21
May,0.02,0.01,0.01,0.00,7.79,4.01
Jun,0.01,0.00,0.01,0.00,2.65,2.47
Jul,0.01,0.00,0.00,0.00,1.87,1.89
Aug,0.01,0.01,0.00,0.00,1.94,1.94
Sep,0.02,0.02,0.00,0.00,2.35,2.70
Oct,0.07,0.07,0.00,0.00,2.49,2.99
Nov,0.14,0.14,0.00,0.00,1.92,3.12
Dec,0.24,0.24,0.00,0.00,0.75,3.18
Total,1.63,1.58,0.04,0.00,34.69,36.01
