Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)","4,880.3",44.0,10.9
"Loading Rates (kg/ha)",70.93,0.64,0.16
"Mean Annual Concentration (mg/L)",340.66,3.07,0.76
"Mean Low-Flow Concentration (mg/L)",735.93,5.22,1.76
