Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)","5,010.3",114.3,26.5
"Loading Rates (kg/ha)",10.65,0.24,0.06
"Mean Annual Concentration (mg/L)",98.39,2.25,0.52
"Mean Low-Flow Concentration (mg/L)",288.30,5.98,1.61
