Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)","6,052.8",130.6,31.8
"Loading Rates (kg/ha)",11.44,0.25,0.06
"Mean Annual Concentration (mg/L)",60.73,1.31,0.32
"Mean Low-Flow Concentration (mg/L)",810.68,3.23,1.75
