Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)","2,811.4",72.0,9.6
"Loading Rates (kg/ha)",33.11,0.85,0.11
"Mean Annual Concentration (mg/L)",208.44,5.34,0.71
"Mean Low-Flow Concentration (mg/L)",144.35,"1,013.26",63.23
