Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,0.04,0.04,0.00,0.00,0.62,2.29
Feb,0.08,0.08,0.00,0.00,1.44,2.70
Mar,0.02,0.02,0.00,0.00,3.53,4.15
Apr,0.01,0.00,0.01,0.00,7.00,4.09
May,0.01,0.00,0.01,0.00,7.51,3.36
Jun,0.01,0.00,0.01,0.00,1.92,1.72
Jul,0.00,0.00,0.00,0.00,2.45,2.45
Aug,0.00,0.00,0.00,0.00,2.94,2.96
Sep,0.01,0.01,0.00,0.00,2.46,2.86
Oct,0.00,0.00,0.00,0.00,2.73,3.04
Nov,0.02,0.02,0.00,0.00,1.79,2.91
Dec,0.03,0.03,0.00,0.00,0.84,2.67
Total,0.23,0.20,0.03,0.00,35.23,35.20
