Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)","27,937.1",478.7,70.6
"Loading Rates (kg/ha)",26.63,0.46,0.07
"Mean Annual Concentration (mg/L)",78.37,1.34,0.20
"Mean Low-Flow Concentration (mg/L)",136.54,2.86,0.52
