Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,0.10,0.10,0.00,0.00,0.79,2.29
Feb,0.15,0.15,0.00,0.00,1.81,2.70
Mar,0.06,0.06,0.00,0.00,4.49,4.15
Apr,0.01,0.01,0.00,0.00,6.99,4.09
May,0.00,0.00,0.00,0.00,5.58,3.36
Jun,0.00,0.00,0.00,0.00,1.76,1.72
Jul,0.00,0.00,0.00,0.00,2.45,2.45
Aug,0.01,0.01,0.00,0.00,2.94,2.96
Sep,0.03,0.03,0.00,0.00,2.48,2.86
Oct,0.01,0.01,0.00,0.00,2.82,3.04
Nov,0.04,0.04,0.00,0.00,1.94,2.91
Dec,0.07,0.07,0.00,0.00,0.95,2.67
Total,0.48,0.48,0.00,0.00,35.00,35.20
