Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)","63,138.4","1,101.4",150.9
"Loading Rates (kg/ha)",47.35,0.83,0.11
"Mean Annual Concentration (mg/L)",512.03,8.93,1.22
"Mean Low-Flow Concentration (mg/L)",356.19,65.47,6.10
