Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,0.18,0.02,0.15,0.00,0.59,2.29
Feb,0.33,0.06,0.27,0.00,1.37,2.70
Mar,0.50,0.01,0.49,0.00,3.34,4.15
Apr,0.53,0.00,0.53,0.00,6.71,4.09
May,0.42,0.00,0.41,0.00,5.57,3.36
Jun,0.30,0.00,0.30,0.00,1.80,1.72
Jul,0.22,0.00,0.22,0.00,2.44,2.45
Aug,0.16,0.00,0.16,0.00,2.95,2.96
Sep,0.12,0.00,0.12,0.00,2.45,2.86
Oct,0.09,0.00,0.09,0.00,2.70,3.04
Nov,0.07,0.01,0.06,0.00,1.75,2.91
Dec,0.08,0.02,0.06,0.00,0.81,2.67
Total,3.00,0.12,2.86,0.00,32.48,35.20
