Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)","3,003.7",68.5,10.6
"Loading Rates (kg/ha)",31.42,0.72,0.11
"Mean Annual Concentration (mg/L)",219.46,5.01,0.77
"Mean Low-Flow Concentration (mg/L)",339.52,268.29,21.29
