Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)","15,041.2",249.2,63.0
"Loading Rates (kg/ha)",15.74,0.26,0.07
"Mean Annual Concentration (mg/L)",133.90,2.22,0.56
"Mean Low-Flow Concentration (mg/L)",355.09,6.26,1.73
