Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,0.39,0.37,0.01,0.00,0.44,2.73
Feb,0.27,0.25,0.01,0.00,1.08,2.74
Mar,0.29,0.21,0.09,0.00,2.87,4.03
Apr,0.18,0.01,0.17,0.00,6.60,4.21
May,0.17,0.01,0.17,0.00,9.33,4.01
Jun,0.12,0.00,0.12,0.00,3.08,2.47
Jul,0.10,0.00,0.09,0.00,1.87,1.89
Aug,0.07,0.01,0.07,0.00,1.94,1.94
Sep,0.07,0.02,0.05,0.00,2.34,2.70
Oct,0.08,0.04,0.04,0.00,2.37,2.99
Nov,0.13,0.10,0.03,0.00,1.68,3.12
Dec,0.20,0.18,0.02,0.00,0.60,3.18
Total,2.07,1.20,0.87,0.00,34.20,36.01
