Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)","22,657.8",394.4,90.6
"Loading Rates (kg/ha)",16.34,0.28,0.07
"Mean Annual Concentration (mg/L)",92.01,1.60,0.37
"Mean Low-Flow Concentration (mg/L)",266.85,4.05,1.12
