Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)","1,606.7",138.1,8.8
"Loading Rates (kg/ha)",18.34,1.58,0.10
"Mean Annual Concentration (mg/L)",19.44,1.67,0.11
"Mean Low-Flow Concentration (mg/L)",0.99,2.97,0.19
