Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,0.60,0.13,0.47,0.00,0.66,2.29
Feb,0.83,0.19,0.65,0.00,1.53,2.70
Mar,0.95,0.08,0.87,0.00,3.66,4.15
Apr,0.80,0.01,0.79,0.00,5.19,4.09
May,0.63,0.01,0.62,0.00,3.73,3.36
Jun,0.45,0.00,0.44,0.00,1.77,1.72
Jul,0.34,0.00,0.34,0.00,2.44,2.45
Aug,0.26,0.01,0.25,0.00,2.93,2.96
Sep,0.22,0.04,0.18,0.00,2.44,2.86
Oct,0.19,0.02,0.17,0.00,2.65,3.04
Nov,0.20,0.06,0.15,0.00,1.82,2.91
Dec,0.31,0.09,0.22,0.00,0.87,2.67
Total,5.78,0.64,5.15,0.00,29.69,35.20
