Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)",694.7,20.0,5.1
"Loading Rates (kg/ha)",5.91,0.17,0.04
"Mean Annual Concentration (mg/L)",120.90,3.47,0.88
"Mean Low-Flow Concentration (mg/L)",321.12,16.29,4.19
