Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)",196.0,5.9,1.6
"Loading Rates (kg/ha)",4.78,0.14,0.04
"Mean Annual Concentration (mg/L)",100.83,3.06,0.80
"Mean Low-Flow Concentration (mg/L)",26.58,"1,486.19",318.03
