Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,0.90,0.90,0.00,0.00,0.56,2.73
Feb,0.74,0.74,0.00,0.00,1.36,2.74
Mar,0.61,0.61,0.00,0.00,3.60,4.03
Apr,0.05,0.05,0.00,0.00,6.34,4.21
May,0.03,0.03,0.00,0.00,7.33,4.01
Jun,0.00,0.00,0.00,0.00,2.86,2.47
Jul,0.00,0.00,0.00,0.00,1.87,1.89
Aug,0.02,0.02,0.00,0.00,1.92,1.94
Sep,0.04,0.04,0.00,0.00,2.30,2.70
Oct,0.19,0.19,0.00,0.00,2.39,2.99
Nov,0.33,0.33,0.00,0.00,1.81,3.12
Dec,0.54,0.54,0.00,0.00,0.69,3.18
Total,3.45,3.45,0.00,0.00,33.03,36.01
