Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,0.43,0.43,0.00,0.00,0.65,2.73
Feb,0.30,0.30,0.00,0.00,1.58,2.74
Mar,0.25,0.25,0.00,0.00,4.18,4.03
Apr,0.02,0.02,0.00,0.00,7.29,4.21
May,0.01,0.01,0.00,0.00,7.05,4.01
Jun,0.00,0.00,0.00,0.00,2.53,2.47
Jul,0.00,0.00,0.00,0.00,1.87,1.89
Aug,0.01,0.01,0.00,0.00,1.94,1.94
Sep,0.03,0.03,0.00,0.00,2.38,2.70
Oct,0.05,0.05,0.00,0.00,2.56,2.99
Nov,0.12,0.12,0.00,0.00,2.03,3.12
Dec,0.21,0.21,0.00,0.00,0.81,3.18
Total,1.43,1.43,0.00,0.00,34.87,36.01
