Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)","1,301.3",22.0,5.3
"Loading Rates (kg/ha)",22.21,0.38,0.09
"Mean Annual Concentration (mg/L)",196.34,3.33,0.80
"Mean Low-Flow Concentration (mg/L)",58.73,60.00,10.88
