Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)","564,433.1","13,884.6",774.8
"Loading Rates (kg/ha)",360.41,8.87,0.49
"Mean Annual Concentration (mg/L)",91.39,2.25,0.13
"Mean Low-Flow Concentration (mg/L)",96.20,2.38,0.15
