Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)","41,652.0",562.8,92.1
"Loading Rates (kg/ha)",73.14,0.99,0.16
"Mean Annual Concentration (mg/L)",584.76,7.90,1.29
"Mean Low-Flow Concentration (mg/L)",150.65,20.70,1.98
