Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)","7,173.1",109.0,15.4
"Loading Rates (kg/ha)",76.47,1.16,0.16
"Mean Annual Concentration (mg/L)",559.04,8.50,1.20
"Mean Low-Flow Concentration (mg/L)",656.03,535.01,53.91
