Sources,Sediment,"Total Nitrogen","Total Phosphorus"
"Total Loads (kg)","1,867.1",92.1,22.4
"Loading Rates (kg/ha)",3.92,0.19,0.05
"Mean Annual Concentration (mg/L)",164.17,8.10,1.97
"Mean Low-Flow Concentration (mg/L)",842.38,49.13,12.68
